
Student Id,Country Code,Enrolled Year,Age,Gender,Experienced,Course Code,Engagement Month,Engagement Year,Engagement Type
1,US,9,2021,60,U,true,JMC,NOVEMBER,2024,Lecture 5
1,US,9,2021,60,U,true,PYC,MARCH,2022,Lecture 11
2,IN,7,2017,45,F,false,JMC,FEBRUARY,2020,Lecture 3
2,IN,7,2017,45,F,false,PYC,DECEMBER,2023,Lecture 13
3,US,5,2021,63,M,true,JMC,SEPTEMBER,2022,Lecture 9
3,US,5,2021,63,M,true,PYC,AUGUST,2024,Lecture 1
4,AU,12,2020,72,F,true,JMC,AUGUST,2021,Lecture 7
4,AU,12,2020,72,F,true,PYC,MAY,2020,Lecture 9
5,IN,4,2016,18,F,false,JMC,MARCH,2021,Lecture 13
5,IN,4,2016,18,F,false,PYC,SEPTEMBER,2023,Lecture 14
